Year,region,site,Latitude,Longitude,Elevation,Tave06,Tave07,PPT06,PPT07,MAT,MAP
1979,Center,Government Trail Ridge,46.24479,117.48715,1445,13,17.5,45,12,6.5,658
1979,North,Rock Creek,49.04469,119.04353,849,14.9,18.1,29,20,5.7,314
1979,Southwest,Leslie Gulch,43.29848,117.27058,1043,17.7,21.5,13,1,9,333
1979,Southwest,McKay Creek,44.46775,120.71079,1128,13.5,17.1,10,4,7.4,465
1979,Southwest,Highway 26,44.38361,120.52029,1134,14.3,17.6,8,5,7.5,454
1979,Center,Tucannon,46.23581,117.74268,1035,16.3,19.5,59,17,8.6,944
1980,Center,Abel's Ridge,46.2844,117.59807,1441,10.7,16.9,66,30,6.7,934
1980,North,Blue Lake,49.04672,119.55738,852,14,17.9,47,26,6.8,422
1980,Center,Government Trail Ridge,46.24479,117.48715,1445,10.4,16.7,65,26,6.6,821
1980,North,Rock Creek,49.04469,119.04353,849,12.9,16.7,52,31,5.8,433
1980,Southwest,Leslie Gulch,43.29848,117.27058,1043,14.8,20.7,33,14,9.2,345
1980,Southwest,McKay Creek,44.46775,120.71079,1128,11.1,16.7,53,8,7.3,463
1980,Southwest,Highway 26,44.38361,120.52029,1134,11.7,17.3,51,10,7.5,459
1980,Center,Tucannon,46.23581,117.74268,1035,13.4,18.9,81,29,8.6,1252
1981,Center,Abel's Ridge,46.2844,117.59807,1441,10.5,15.3,127,33,7.3,856
1981,North,Blue Lake,49.04672,119.55738,852,12.5,17.1,41,36,7.3,473
1981,Center,Government Trail Ridge,46.24479,117.48715,1445,10.1,15.1,126,28,7.1,786
1981,North,Rock Creek,49.04469,119.04353,849,11.5,15.9,64,39,6.3,462
1981,Southwest,Leslie Gulch,43.29848,117.27058,1043,15.8,19.5,30,15,9.4,429
1981,Southwest,McKay Creek,44.46775,120.71079,1128,12,14.5,51,8,7.6,613
1981,Southwest,Highway 26,44.38361,120.52029,1134,12.7,15.1,53,8,7.6,621
1981,Center,Tucannon,46.23581,117.74268,1035,13.2,17.3,162,33,9.2,1129
1982,Center,Abel's Ridge,46.2844,117.59807,1441,14.4,16.3,47,65,6.5,889
1982,North,Blue Lake,49.04672,119.55738,852,17.5,17.1,91,57,6.3,521
1982,Center,Government Trail Ridge,46.24479,117.48715,1445,13.9,16.1,43,56,6.3,772
1982,North,Rock Creek,49.04469,119.04353,849,16.4,16,79,50,5.4,469
1982,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.9,19.4,63,42,8.1,377
1982,Southwest,McKay Creek,44.46775,120.71079,1128,13.6,15.5,59,25,6.4,405
1982,Southwest,Highway 26,44.38361,120.52029,1134,14.2,16,56,27,6.4,409
1982,Center,Tucannon,46.23581,117.74268,1035,17.1,18.3,65,67,8.4,1190
1983,Center,Abel's Ridge,46.2844,117.59807,1441,12,15,86,72,7.1,928
1983,North,Blue Lake,49.04672,119.55738,852,14.5,15.6,66,65,7,616
1983,Center,Government Trail Ridge,46.24479,117.48715,1445,11.6,14.8,85,55,6.8,818
1983,North,Rock Creek,49.04469,119.04353,849,13.4,14.5,75,60,6.1,566
1983,Southwest,Leslie Gulch,43.29848,117.27058,1043,16.1,18.8,28,27,9.1,419
1983,Southwest,McKay Creek,44.46775,120.71079,1128,11.8,14.5,19,49,7.2,674
